,p1_win
1061,1
1062,0
1063,0
1064,1
1065,0
1066,1
1067,0
1068,1
1069,0
1070,1
1071,0
1072,1
1073,1
1074,0
1075,1
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,0
1083,1
1084,0
1085,1
1086,0
1087,1
1088,0
1089,1
1090,0
1091,1
1092,0
1093,1
1094,0
1095,1
1096,0
1097,1
1098,0
1099,1
1100,0
1101,1
1102,0
1103,1
1104,0
1105,1
1106,0
1107,1
1108,0
1109,1
1110,0
1111,1
1112,0
1113,1
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,1
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,1
1128,0
1129,1
1130,0
1131,1
1132,0
1133,1
1134,0
1135,1
1136,0
1137,1
1138,0
1139,1
1140,0
1141,1
1142,0
1143,1
1144,0
1145,0
1146,0
1147,1
1148,1
1149,0
1150,1
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,1
1158,0
1159,1
1160,1
1161,0
1162,1
1163,0
1164,1
1165,0
1166,1
1167,0
1168,0
1169,1
1170,0
1171,1
1172,1
1173,1
1174,0
1175,1
1176,0
1177,0
1178,1
1179,0
1180,1
1181,0
1182,1
1183,0
1184,1
1185,0
1186,1
1187,1
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,1
1195,0
1196,1
1197,0
1198,1
1199,0
1200,1
1201,0
1202,1
1203,0
1204,1
1205,0
1206,1
1207,1
1208,0
1209,0
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,0
1217,0
1218,1
1219,1
1220,0
1221,0
1222,1
1223,0
1224,1
1225,0
1226,1
1227,1
1228,0
1229,0
1230,1
1231,0
1232,1
1233,0
1234,1
1235,1
1236,0
1237,0
1238,1
1239,1
1240,0
1241,1
1242,0
1243,0
1244,1
1245,0
1246,1
1247,0
1248,0
1249,1
1250,0
1251,1
1252,0
1253,1
1254,0
1255,1
1256,0
1257,1
1258,1
1259,0
1260,1
1261,0
1262,0
1263,1
1264,1
1265,0
1266,1
1267,0
1268,0
1269,1
1270,0
1271,1
1272,0
1273,1
1274,1
1275,0
1276,0
1277,1
1278,1
1279,0
1280,1
1281,0
1282,0
1283,1
1284,1
1285,0
1286,0
1287,1
1288,0
1289,1
1290,1
1291,0
1292,0
1293,1
1294,0
1295,1
1296,1
1297,0
1298,1
1299,0
1300,0
1301,1
1302,1
1303,0
1304,1
1305,0
1306,0
1307,1
1308,0
1309,1
1310,0
1311,1
1312,0
1313,1
1314,0
1315,0
1316,1
1317,1
1318,0
1319,1
1320,0
1321,1
1322,0
1323,1
1324,0
1325,1
1326,0
1327,0
1328,1
1329,1
1330,0
1331,0
1332,1
1333,1
1334,0
1335,0
1336,1
1337,1
1338,0
1339,0
1340,1
1341,1
1342,0
1343,0
1344,1
1345,0
1346,1
1347,1
1348,0
1349,1
1350,0
1351,1
1352,0
1353,0
1354,0
1355,1
1356,0
1357,1
1358,0
1359,1
1360,0
1361,1
1362,1
1363,0
1364,0
1365,1
1366,0
1367,1
1368,1
1369,0
1370,0
1371,1
1372,1
1373,0
1374,1
1375,0
1376,0
1377,1
1378,0
1379,1
1380,1
1381,1
1382,0
1383,1
1384,0
1385,1
1386,0
1387,0
1388,1
1389,0
1390,1
1391,1
1392,0
1393,1
1394,0
1395,1
1396,0
1397,1
1398,0
1399,0
1400,1
1401,1
1402,0
1403,0
1404,1
1405,0
1406,1
1407,0
1408,0
1409,1
1410,0
1411,1
1412,0
1413,1
1414,0
1415,1
1416,0
1417,1
1418,0
1419,1
1420,1
1421,0
1422,0
1423,1
1424,1
1425,0
1426,1
1427,0
1428,1
1429,0
1430,1
1431,0
1432,1
1433,0
1434,0
1435,1
1436,1
1437,0
1438,1
1439,0
1440,1
1441,0
1442,1
1443,1
1444,0
1445,1
1446,0
1447,1
1448,0
1449,0
1450,1
1451,1
1452,0
1453,1
1454,0
1455,1
1456,0
1457,0
1458,1
1459,0
1460,0
1461,1
1462,0
1463,1
1464,0
1465,1
1466,0
1467,1
1468,0
1469,1
1470,0
1471,0
1472,1
1473,1
1474,0
1475,1
1476,0
1477,1
1478,0
1479,1
1480,1
1481,0
1482,1
1483,0
1484,1
1485,0
1486,1
1487,1
1488,0
1489,1
1490,0
1491,1
1492,0
1493,0
1494,1
1495,1
1496,0
1497,0
1498,1
1499,1
1500,0
1501,0
1502,1
1503,0
1504,0
1505,1
1506,0
1507,1
1508,1
1509,0
1510,1
1511,0
1512,0
1513,1
1514,0
1515,1
1516,0
1517,1
1518,0
1519,1
1520,1
1521,0
1522,0
1523,1
1524,1
1525,0
1526,0
1527,1
1528,0
1529,1
1530,0
1531,1
1532,1
1533,0
1534,1
1535,0
1536,1
1537,0
1538,1
1539,0
1540,1
1541,0
1542,0
1543,1
1544,1
1545,0
1546,1
1547,0
1548,0
1549,1
1550,1
1551,0
1552,0
1553,1
1554,0
1555,1
1556,1
1557,0
1558,1
1559,0
1560,1
1561,0
1562,1
1563,0
1564,0
1565,1
1566,1
1567,0
1568,0
1569,1
1570,1
1571,0
1572,0
1573,1
1574,0
1575,1
1576,1
1577,0
1578,0
1579,1
1580,0
1581,1
1582,1
1583,0
1584,0
1585,1
1586,0
1587,1
1588,0
1589,1
1590,1
1591,0
1592,0
1593,1
1594,1
1595,0
1596,0
1597,1
1598,1
1599,0
1600,1
1601,0
1602,1
1603,0
1604,0
1605,1
1606,1
1607,0
1608,0
1609,1
1610,1
1611,0
1612,1
1613,0
1614,0
1615,1
1616,0
1617,1
1618,1
1619,0
1620,1
1621,0
1622,0
1623,1
1624,1
1625,0
1626,1
1627,0
1628,0
1629,1
1630,0
1631,1
1632,1
1633,0
1634,1
1635,0
1636,0
1637,1
1638,0
1639,1
1640,0
1641,1
1642,0
1643,1
1644,1
1645,0
1646,0
1647,1
1648,0
1649,1
1650,1
1651,0
1652,0
1653,1
1654,1
1655,0
1656,0
1657,1
1658,1
1659,0
1660,1
1661,0
1662,0
1663,1
1664,0
1665,1
1666,1
1667,0
1668,1
1669,0
1670,1
1671,0
1672,1
1673,0
1674,0
1675,1
1676,1
1677,0
1678,1
1679,0
1680,0
1681,1
1682,1
1683,0
1684,0
1685,1
1686,0
1687,1
1688,1
1689,0
1690,0
1691,1
1692,1
1693,0
1694,1
1695,0
1696,1
1697,0
1698,0
1699,1
1700,1
1701,0
1702,1
1703,0
1704,0
1705,1
1706,1
1707,0
1708,1
1709,0
1710,1
1711,0
1712,1
1713,0
1714,1
1715,0
1716,0
1717,1
1718,1
1719,0
1720,0
1721,1
1722,0
1723,1
1724,0
1725,1
1726,0
1727,1
1728,0
1729,1
1730,1
1731,0
1732,1
1733,0
1734,0
1735,1
1736,0
1737,1
1738,1
1739,0
1740,0
1741,1
1742,1
1743,0
1744,1
1745,0
1746,1
1747,0
1748,1
1749,0
1750,1
1751,0
1752,0
1753,1
1754,1
1755,0
1756,1
1757,0
1758,1
1759,0
1760,0
1761,1
1762,1
1763,0
1764,0
1765,1
1766,0
1767,1
1768,0
1769,1
1770,0
1771,0
1772,1
1773,0
1774,1
1775,0
1776,1
1777,0
1778,0
1779,1
1780,0
1781,1
1782,0
1783,1
1784,0
1785,1
1786,0
1787,1
1788,1
1789,0
1790,1
1791,0
1792,0
1793,1
1794,1
1795,0
1796,0
1797,1
1798,1
1799,0
1800,0
1801,1
1802,0
1803,1
1804,0
1805,1
1806,1
1807,0
1808,0
1809,1
1810,1
1811,0
1812,0
1813,1
1814,1
1815,0
1816,0
1817,1
1818,1
1819,0
1820,0
1821,1
1822,0
1823,1
1824,1
1825,0
1826,1
1827,0
1828,0
1829,1
1830,0
1831,1
1832,0
1833,1
1834,0
1835,1
1836,0
1837,1
1838,0
1839,1
1840,0
1841,1
1842,0
1843,1
1844,1
1845,0
1846,0
1847,1
1848,1
1849,0
1850,0
1851,1
1852,0
1853,1
1854,0
1855,1
1856,0
1857,1
1858,1
1859,0
1860,0
1861,1
1862,0
1863,1
1864,0
1865,1
1866,0
1867,1
1868,0
1869,1
1870,1
1871,0
1872,0
1873,1
1874,0
1875,1
1876,1
1877,0
1878,0
1879,1
1880,1
1881,0
1882,0
1883,1
1884,0
1885,1
1886,1
1887,0
1888,0
1889,1
1890,0
1891,1
1892,0
1893,1
1894,0
1895,0
1896,1
1897,0
1898,1
1899,1
1900,0
1901,0
1902,1
1903,1
1904,0
1905,0
1906,1
1907,1
1908,0
1909,1
1910,0
1911,1
1912,0
1913,1
1914,0
1915,1
1916,1
1917,0
1918,1
1919,0
1920,0
1921,1
1922,0
1923,1
1924,0
1925,1
1926,0
1927,1
1928,1
1929,1
1930,0
1931,0
1932,1
1933,0
1934,1
1935,1
1936,0
1937,1
1938,0
1939,0
1940,1
1941,1
1942,0
1943,0
1944,1
1945,0
1946,1
1947,0
1948,1
1949,0
1950,1
1951,0
1952,0
1953,1
1954,1
1955,0
1956,0
1957,1
1958,0
1959,1
1960,1
1961,0
1962,1
1963,0
1964,1
1965,0
1966,1
1967,0
1968,1
1969,1
1970,0
1971,0
1972,1
1973,1
1974,0
1975,0
1976,1
1977,1
1978,0
1979,0
1980,1
1981,0
1982,1
1983,1
1984,0
1985,1
1986,0
1987,0
1988,1
1989,1
1990,0
1991,1
1992,0
1993,1
1994,0
1995,1
1996,0
1997,0
1998,1
1999,1
2000,0
2001,1
2002,1
2003,0
2004,1
2005,0
2006,1
2007,0
2008,0
2009,1
2010,1
2011,0
2012,0
2013,1
2014,0
2015,1
2016,0
2017,0
2018,1
2019,1
2020,0
2021,1
2022,0
2023,1
2024,0
2025,0
2026,1
2027,1
2028,0
2029,0
2030,1
2031,1
2032,0
2033,0
2034,1
2035,1
2036,0
2037,0
2038,1
2039,1
2040,0
2041,1
2042,0
2043,1
2044,0
2045,1
2046,0
2047,1
2048,0
2049,1
2050,0
2051,1
2052,0
2053,1
2054,0
2055,1
2056,0
2057,0
2058,1
2059,1
2060,0
2061,1
2062,0
2063,1
2064,0
2065,0
2066,1
2067,0
2068,1
2069,0
2070,1
2071,0
2072,0
2073,1
2074,0
2075,0
2076,1
2077,0
2078,1
2079,1
2080,0
2081,0
2082,1
2083,0
2084,1
2085,0
2086,1
2087,1
2088,0
2089,1
2090,0
2091,0
2092,1
2093,0
2094,1
2095,1
2096,0
2097,1
2098,0
2099,1
2100,0
2101,0
2102,1
2103,0
2104,1
2105,1
2106,0
2107,0
2108,1
2109,1
2110,0
2111,0
2112,1
2113,0
2114,1
2115,0
2116,1
2117,1
2118,0
2119,1
2120,0
2121,0
2122,1
2123,0
2124,1
2125,1
2126,0
2127,0
2128,1
2129,1
2130,0
2131,0
2132,1
2133,1
2134,0
2135,0
2136,1
2137,1
2138,1
2139,0
2140,1
2141,0
2142,1
2143,0
2144,0
2145,1
2146,0
2147,1
2148,1
2149,0
2150,0
2151,1
2152,1
2153,0
2154,1
2155,0
2156,0
2157,1
2158,0
2159,1
2160,0
2161,1
2162,0
2163,1
2164,0
2165,1
2166,0
2167,1
2168,0
2169,1
2170,0
2171,1
2172,0
2173,1
2174,0
2175,1
2176,0
2177,1
2178,0
2179,1
2180,0
2181,1
2182,0
2183,1
2184,1
2185,0
2186,0
2187,1
2188,1
2189,0
2190,0
2191,1
2192,0
2193,1
2194,0
2195,1
2196,0
2197,1
2198,1
2199,0
2200,1
2201,0
2202,0
2203,1
2204,0
2205,1
2206,0
2207,1
2208,0
2209,1
2210,0
2211,1
2212,0
2213,1
2214,0
2215,1
2216,1
2217,0
2218,1
2219,0
2220,0
2221,1
2222,0
2223,1
2224,0
2225,1
2226,0
2227,1
2228,1
2229,0
2230,1
2231,0
2232,1
2233,0
2234,0
2235,1
2236,0
2237,1
2238,1
2239,0
2240,0
2241,1
2242,1
2243,0
2244,0
2245,1
2246,0
2247,1
2248,1
2249,0
2250,0
2251,1
2252,0
2253,1
2254,0
2255,0
2256,1
2257,1
2258,0
2259,1
2260,0
2261,0
2262,1
2263,1
2264,0
2265,1
2266,0
2267,1
2268,0
2269,0
2270,1
2271,1
2272,0
2273,1
2274,0
2275,0
2276,1
2277,0
2278,1
2279,1
2280,0
2281,1
2282,0
2283,1
2284,0
2285,1
2286,0
2287,1
2288,0
2289,1
2290,0
2291,0
2292,1
2293,1
2294,0
2295,0
2296,1
2297,1
2298,0
2299,1
2300,0
2301,0
2302,1
2303,0
2304,1
2305,1
2306,0
2307,0
2308,1
2309,0
2310,1
2311,0
2312,1
2313,1
2314,0
2315,0
2316,1
2317,1
2318,0
2319,0
2320,1
2321,0
2322,1
2323,0
2324,1
2325,0
2326,0
2327,1
2328,0
2329,1
2330,1
2331,0
2332,0
2333,1
2334,1
2335,0
2336,0
2337,1
2338,1
2339,0
2340,1
2341,0
2342,1
2343,0
2344,1
2345,0
2346,1
2347,0
2348,0
2349,1
2350,1
2351,0
2352,1
2353,0
2354,1
2355,0
2356,1
2357,0
2358,1
2359,0
2360,1
2361,0
2362,1
2363,0
2364,0
2365,1
2366,0
2367,1
2368,0
2369,1
2370,0
2371,1
2372,1
2373,0
2374,0
2375,1
2376,1
2377,0
2378,0
2379,1
2380,1
2381,0
2382,0
2383,1
2384,1
2385,0
2386,0
2387,1
2388,1
2389,0
2390,1
2391,0
2392,1
2393,0
2394,0
2395,1
2396,1
2397,0
2398,1
2399,0
2400,0
2401,1
2402,0
2403,1
2404,1
2405,0
2406,0
2407,1
2408,1
2409,0
2410,1
2411,0
2412,0
2413,1
2414,0
2415,0
2416,1
2417,0
2418,1
2419,0
2420,0
2421,0
2422,1
2423,1
2424,0
2425,1
2426,0
2427,0
2428,1
2429,1
2430,0
2431,1
2432,0
2433,0
2434,1
2435,1
2436,0
2437,1
2438,0
2439,1
2440,0
2441,1
2442,0
2443,0
2444,0
2445,1
2446,1
2447,0
2448,0
2449,1
2450,1
2451,0
2452,1
2453,0
2454,1
2455,0
2456,0
2457,1
2458,1
2459,0
2460,0
2461,0
2462,1
2463,1
2464,0
2465,0
2466,1
2467,0
2468,1
2469,1
2470,0
2471,1
2472,0
2473,0
2474,1
2475,1
2476,0
2477,1
2478,0
2479,0
2480,1
2481,0
2482,1
2483,1
2484,0
2485,0
2486,1
2487,1
2488,0
2489,1
2490,0
2491,0
2492,1
2493,1
2494,0
2495,0
2496,1
2497,1
2498,0
2499,1
2500,0
2501,0
2502,1
2503,0
2504,1
2505,0
2506,1
2507,0
2508,1
2509,1
2510,0
2511,0
2512,1
2513,1
2514,0
2515,1
2516,0
2517,0
2518,1
2519,0
2520,1
2521,0
2522,1
2523,0
2524,1
2525,1
2526,0
2527,0
2528,1
2529,1
2530,0
2531,1
2532,0
2533,1
2534,0
2535,1
2536,0
2537,0
2538,1
2539,1
2540,0
2541,0
2542,1
2543,0
2544,1
2545,0
2546,1
2547,0
2548,1
2549,0
2550,1
2551,0
2552,1
2553,0
2554,1
2555,0
2556,1
2557,1
2558,1
2559,0
2560,0
2561,1
2562,0
2563,1
2564,0
2565,1
2566,0
2567,1
2568,0
2569,1
2570,0
2571,1
2572,1
2573,0
2574,1
2575,0
2576,1
2577,0
2578,1
2579,0
2580,1
2581,0
2582,1
2583,1
2584,0
2585,0
2586,1
2587,0
2588,1
2589,1
2590,0
2591,1
2592,0
2593,0
2594,1
2595,1
2596,1
2597,0
2598,1
2599,0
2600,0
2601,1
2602,1
2603,0
2604,1
2605,0
2606,1
2607,0
2608,0
2609,0
2610,1
2611,0
2612,1
2613,1
2614,0
2615,0
2616,1
2617,0
2618,1
2619,0
2620,1
2621,1
2622,0
2623,1
2624,0
2625,1
2626,0
2627,1
2628,1
2629,0
2630,0
2631,1
2632,1
2633,0
2634,1
2635,0
2636,0
2637,0
2638,1
2639,1
2640,0
2641,1
2642,0
2643,1
2644,0
2645,0
2646,1
2647,0
2648,1
2649,0
2650,1
2651,1
2652,0
2653,1
2654,0
2655,0
2656,1
2657,0
2658,1
2659,1
2660,0
2661,1
2662,0
2663,1
2664,0
2665,1
2666,0
2667,1
2668,0
2669,1
2670,0
2671,1
2672,0
2673,1
2674,0
2675,0
2676,1
2677,0
2678,1
2679,0
2680,1
2681,1
2682,0
2683,1
2684,0
2685,1
2686,0
2687,0
2688,0
2689,1
2690,0
2691,1
2692,1
2693,0
2694,1
2695,0
2696,0
2697,1
2698,1
2699,0
2700,1
2701,0
2702,0
2703,1
2704,1
2705,0
2706,0
2707,1
2708,0
2709,1
2710,0
2711,0
2712,1
2713,0
2714,1
2715,0
2716,1
2717,1
2718,0
2719,1
2720,0
2721,0
2722,1
2723,1
2724,0
2725,1
2726,0
2727,0
2728,1
2729,0
2730,1
2731,0
2732,1
2733,0
2734,1
2735,1
2736,0
2737,1
2738,0
2739,1
2740,0
2741,1
2742,0
2743,1
2744,1
2745,0
2746,1
2747,0
2748,0
2749,1
2750,0
2751,1
2752,1
2753,0
2754,0
2755,0
2756,1
2757,1
2758,0
2759,0
2760,1
2761,0
2762,1
2763,1
2764,0
2765,1
2766,0
2767,1
2768,0
2769,0
2770,1
2771,1
2772,0
2773,1
2774,0
2775,1
2776,1
2777,0
2778,0
2779,1
2780,0
2781,1
2782,0
2783,1
2784,0
2785,1
2786,0
2787,1
2788,0
2789,1
2790,0
2791,1
2792,0
2793,1
2794,0
2795,1
2796,0
2797,0
2798,1
2799,1
2800,0
2801,1
2802,0
2803,0
2804,1
2805,1
2806,0
2807,0
2808,1
2809,0
2810,1
2811,0
2812,1
2813,1
2814,0
2815,1
2816,0
2817,1
2818,0
2819,1
2820,0
2821,0
2822,1
2823,0
2824,1
2825,0
2826,1
2827,0
2828,1
2829,0
2830,1
2831,0
2832,1
2833,1
2834,0
2835,1
2836,0
2837,1
2838,0
2839,1
2840,0
2841,0
2842,1
2843,0
2844,1
2845,1
2846,0
2847,1
2848,0
2849,1
2850,0
2851,0
2852,1
2853,0
2854,1
2855,1
2856,0
2857,0
2858,1
2859,0
2860,1
2861,1
2862,0
2863,1
2864,0
2865,1
2866,0
2867,0
2868,1
2869,1
2870,0
2871,0
2872,1
2873,0
2874,1
2875,1
2876,0
2877,1
2878,0
2879,1
2880,0
2881,0
2882,1
2883,0
2884,1
2885,0
2886,1
2887,0
2888,1
2889,0
2890,1
2891,0
2892,1
2893,0
2894,1
2895,0
2896,1
2897,0
2898,1
2899,0
2900,1
2901,0
2902,1
2903,1
2904,1
2905,0
2906,1
2907,0
2908,1
2909,0
2910,1
2911,0
2912,0
2913,1
2914,0
2915,1
2916,0
2917,1
2918,1
2919,0
2920,1
2921,0
2922,0
2923,1
2924,1
2925,0
2926,1
2927,0
2928,1
2929,0
2930,0
2931,1
2932,1
2933,0
2934,0
2935,1
2936,0
2937,1
2938,1
2939,0
2940,0
2941,1
2942,1
2943,0
2944,1
2945,0
2946,1
2947,0
2948,1
2949,0
2950,0
2951,1
2952,1
2953,0
2954,1
2955,0
2956,1
2957,0
2958,1
2959,0
2960,0
2961,1
2962,1
2963,0
2964,0
2965,1
2966,0
2967,1
2968,1
2969,0
2970,1
2971,0
2972,1
2973,0
2974,0
2975,1
2976,1
2977,0
2978,1
2979,0
2980,1
2981,0
2982,1
2983,0
2984,0
2985,1
2986,0
2987,1
2988,0
2989,1
2990,1
2991,0
2992,1
2993,0
2994,0
2995,1
2996,0
